#Incident Continuum, Enr	nFn 
1.44853e-07	3.940e-09
1.45579e-07	4.000e-09
1.46309e-07	4.060e-09
1.47042e-07	4.122e-09
1.47779e-07	4.184e-09
1.48519e-07	4.247e-09
1.49264e-07	4.311e-09
1.50012e-07	4.376e-09
1.50764e-07	4.442e-09
1.51519e-07	4.510e-09
1.52279e-07	4.578e-09
1.53042e-07	4.647e-09
1.53809e-07	4.717e-09
1.54580e-07	4.788e-09
1.55355e-07	4.861e-09
1.56133e-07	4.934e-09
1.56916e-07	5.008e-09
1.57702e-07	5.084e-09
1.58492e-07	5.161e-09
1.59287e-07	5.239e-09
1.60085e-07	5.318e-09
1.60887e-07	5.398e-09
1.61694e-07	5.480e-09
1.62504e-07	5.563e-09
1.63319e-07	5.647e-09
1.64137e-07	5.732e-09
1.64960e-07	5.819e-09
1.65787e-07	5.906e-09
1.66617e-07	5.996e-09
1.67452e-07	6.086e-09
1.68292e-07	6.178e-09
1.69135e-07	6.271e-09
1.69983e-07	6.366e-09
1.70835e-07	6.462e-09
1.71691e-07	6.560e-09
1.72551e-07	6.659e-09
1.73416e-07	6.760e-09
1.74285e-07	6.862e-09
1.75159e-07	6.965e-09
1.76037e-07	7.070e-09
1.76919e-07	7.177e-09
1.77806e-07	7.286e-09
1.78697e-07	7.396e-09
1.79592e-07	7.507e-09
1.80493e-07	7.621e-09
1.81397e-07	7.736e-09
1.82306e-07	7.853e-09
1.83220e-07	7.971e-09
1.84138e-07	8.092e-09
1.85061e-07	8.214e-09
1.85989e-07	8.338e-09
1.86921e-07	8.464e-09
1.87858e-07	8.592e-09
1.88799e-07	8.722e-09
1.89745e-07	8.853e-09
1.90696e-07	8.987e-09
1.91652e-07	9.123e-09
1.92613e-07	9.260e-09
1.93578e-07	9.400e-09
1.94548e-07	9.542e-09
1.95523e-07	9.686e-09
1.96503e-07	9.833e-09
1.97488e-07	9.981e-09
1.98478e-07	1.013e-08
1.99472e-07	1.028e-08
2.00472e-07	1.044e-08
2.01477e-07	1.060e-08
2.02487e-07	1.076e-08
2.03501e-07	1.092e-08
2.04521e-07	1.109e-08
2.05546e-07	1.125e-08
2.06577e-07	1.142e-08
2.07612e-07	1.160e-08
2.08652e-07	1.177e-08
2.09698e-07	1.195e-08
2.10749e-07	1.213e-08
2.11805e-07	1.231e-08
2.12867e-07	1.250e-08
2.13934e-07	1.269e-08
2.15006e-07	1.288e-08
2.16083e-07	1.307e-08
2.17166e-07	1.327e-08
2.18255e-07	1.347e-08
2.19349e-07	1.367e-08
2.20448e-07	1.388e-08
2.21553e-07	1.409e-08
2.22663e-07	1.430e-08
2.23779e-07	1.452e-08
2.24901e-07	1.474e-08
2.26028e-07	1.496e-08
2.27161e-07	1.519e-08
2.28299e-07	1.542e-08
2.29443e-07	1.565e-08
2.30593e-07	1.588e-08
2.31749e-07	1.612e-08
2.32911e-07	1.637e-08
2.34078e-07	1.662e-08
2.35251e-07	1.687e-08
2.36430e-07	1.712e-08
2.37615e-07	1.738e-08
2.38806e-07	1.764e-08
2.40003e-07	1.791e-08
2.41206e-07	1.818e-08
2.42415e-07	1.845e-08
2.43629e-07	1.873e-08
2.44850e-07	1.901e-08
2.46078e-07	1.930e-08
2.47311e-07	1.959e-08
2.48550e-07	1.989e-08
2.49796e-07	2.019e-08
2.51048e-07	2.049e-08
2.52306e-07	2.080e-08
2.53571e-07	2.112e-08
2.54842e-07	2.144e-08
2.56119e-07	2.176e-08
2.57402e-07	2.209e-08
2.58693e-07	2.242e-08
2.59989e-07	2.276e-08
2.61292e-07	2.311e-08
2.62602e-07	2.345e-08
2.63918e-07	2.381e-08
2.65240e-07	2.417e-08
2.66570e-07	2.453e-08
2.67906e-07	2.490e-08
2.69249e-07	2.528e-08
2.70598e-07	2.566e-08
2.71954e-07	2.605e-08
2.73317e-07	2.644e-08
2.74687e-07	2.684e-08
2.76064e-07	2.725e-08
2.77447e-07	2.766e-08
2.78838e-07	2.808e-08
